OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
15,21,1,20,0,15618650.1679,23674.5520291,252,8,20,5,4,13,13-04,13004,13,04,23674.551379,151,ELEMENTARY SCHOOLS,13-04 Takoma Park ES,127,1308804.25010152,479268.531303838,13-04,Takoma Park ES, 7511 Holly Ave Takoma Park MD 20912,-77.0124148794,38.9826597502001,Takoma Park MD 20912,7511 Holly Ave,-77.0124148794,23674.5513790271,15618649.8338434,38.9826597502001
16,22,1,21,0,10117509.252,22630.553813,251,8,20,5,4,13,13-08,13008,13,08,22630.5541347,149,ELEMENTARY SCHOOLS,13-08 East Silver Spring ES,129,1308010.12498106,482814.281301752,13-08,East Silver Spring ES, 631 Silver Spring Ave Silver Spring MD 20910,-77.0152105918999,38.9923950104,Silver Spring MD 20910,631 Silver Spring Ave,-77.0152105918999,22630.5541347204,10117509.3006288,38.9923950104
17,23,1,22,0,14660424.0058,20083.1569338,250,8,18,1,3,13,13-39,13039,13,39,20083.1554618,218,Elementary School,13-39 Rock Creek Forest ES,143,1297893.85281138,482871.66236788,13-39,Rock Creek Forest ES, 8330 Grubb Rd Chevy Chase MD 20815,-77.0508033600635,38.9925425188112,Chevy Chase MD 20815,8330 Grubb Rd,-77.0508033600635,20083.1554617662,14660424.205805,38.9925425188112
18,1,1,0,0,17885188.9409,21911.9092499,271,8,16,1,3, 7,07-27,07027,07,27,21911.9095631,185,PRIVATE,07-27 St.Dunstan's Episcopal Ch,77,1281219.11363766,470170.827651605,07-27,St. Dunstan's Episcopal Church, 5450 Massachusetts Ave Bethesda MD 20816,-77.1094175739295,38.9576294950604,Bethesda MD 20816,5450 Massachusetts Ave,-77.1094175739295,21911.9095630501,17885189.1710512,38.9576294950604
19,2,1,1,0,14335332.4344,18101.8904649,270,8,16,1,3, 7,07-24,07024,07,24,18101.8905216,183,PRIVATE,07-24 Little Flower School Hall,74,1280505.72799878,470945.603152737,07-24,Little Flower School Hall, 5601 Massachusetts Ave Bethesda MD 20816,-77.1119296340569,38.9597544375908,Bethesda MD 20816,5601 Massachusetts Ave,-77.1119296340569,18101.8905215544,14335332.6450139,38.9597544375908
20,3,1,2,0,11983193.657,18244.6060266,269,8,16,1,3, 7,07-07,07007,07,07,18244.6053848,16,ELEMENTARY SCHOOLS,07-07 Westbrook ES,64,1283095.75008668,470475.156294465,07-07,Westbrook ES, 5110 Allan Ter Bethesda MD 20816,-77.1028193264,38.9584710865,Bethesda MD 20816,5110 Allan Ter,-77.1028193264,18244.6053848402,11983193.9343088,38.9584710865
21,4,1,3,0,4455604.6776,12631.3022692,268,8,16,1,3, 7,07-26,07026,07,26,12631.3016276,184,PRIVATE,07-26 Friendship Heights Village Ctr,245,1287035.17488605,472420.193832472,07-26,Friendship Heights Village Center, 4433 S Park Ave Chevy Chase MD 20815,-77.0889722922187,38.9638229774556,CHEVY CHASE MD 20815,4433 S PARK AVE,-77.0889722922187,12631.3016276365,4455604.60253907,38.9638229774556
22,5,1,4,0,50356494.8486,34038.0724461,267,8,16,1,3, 7,07-18,07018,07,18,34038.0724837,181,PRIVATE,07-18 Washington Waldorf School,68,1277720.39506707,468278.218242779,07-18,Washington Waldorf School, 4800 Sangamore Rd Bethesda MD 20816,-77.1217124272364,38.9524207533851,Bethesda MD 20816,4800 Sangamore Rd,-77.1217124272364,34038.072483727,50356494.6616069,38.9524207533851
23,42,1,41,0,27155017.1067,20862.9308897,231,8,16,1,3, 7,07-19,07019,07,19,20862.930958,6,MIDDLE SCHOOLS,07-19 North Bethesda MS,70,1276853.00005703,487277.031199813,07-19,North Bethesda MS,8935 Bradmoor Dr Bethesda MD 20817,-77.1248538896,39.0045827558001,Bethesda MD 20817,8935 Bradmoor Dr,-77.1248538896,20862.9309579813,27155017.2132459,39.0045827558001
24,43,1,42,0,25728870.0262,22655.0114229,230,8,20,5,4,13,13-14,13014,13,14,22655.0110258,198,PRIVATE,13-14 St.Luke Lutheran Ch,132,1305541.06326719,487392.912670374,13-14,St. Luke Luthern Church, 9100 Colesville Rd Silver Spring MD 20910,-77.0239018508635,39.0049651084647,Silver Spring MD 20910,9100 Colesville Rd,-77.0239018508635,22655.0110257643,25728869.7124605,39.0049651084647
25,44,1,43,0,26475916.0798,29830.5126412,229,8,20,5,4,13,13-15,13015,13,15,29830.5132514,115,MIDDLE SCHOOLS,13-15 Eastern MS,256,1312081.62497915,489898.156301498,13-15,Eastern MS, 300 University Blvd E Silver Spring MD 20901,-77.0008858418,39.0118461813001,Silver Spring MD 20901,300 E University Blv,-77.0008858418,29830.5132514258,26475916.0523662,39.0118461813001
26,45,1,44,0,15158917.0038,21042.2551106,228,8,20,5,5, 5,05-14,05014,05,14,21042.2545278,130,ELEMENTARY SCHOOLS,05-14 JoAnn LeLeck ES,154,1316542.12498416,488992.812517777,05-14,JoAnn LeLeck at Broad Acres ES, 710 Beacon Rd Silver Spring MD 20903,-76.9851884398998,39.0093594505,Silver Spring MD 20903,710 Beacon Rd,-76.9851884398998,21042.2545277619,15158917.0486886,39.0093594505
27,50,1,49,0,48887711.4449,37030.590184,223,6,16,1,3,10,10-03,10003,10,03,37030.5904648,20,ELEMENTARY SCHOOLS,10-03 Seven Locks ES,112,1266469.24453364,490280.141468599,10-03,Seven Locks ES, 9500 Seven Locks Rd Bethesda MD 20817,-77.1614125326651,39.0127836675479,Bethesda MD 20817,9500 Seven Locks Rd,-77.1614125326651,37030.5904648222,48887711.742244,39.0127836675479
28,51,1,50,0,37902372.1982,37687.5465105,222,8,18,1,3,13,13-03,13003,13,03,37687.5465496,7,MIDDLE SCHOOLS,13-03 Silver Creek MS,223,1291177.99968106,491537.999787569,13-03,Silver Creek Middle School,3701 Saul Rd Kensington MD 20895,-77.0744570419797,39.0163250009742,KENSINGTON MD 20895,3701 Saul Rd,-77.0744570419797,37687.5465495502,37902372.5735324,39.0163250009742
29,52,1,51,0,21771483.2235,20131.6619683,221,8,16,1,3, 7,07-20,07020,07,20,20131.6611771,229,ELEMENTARY SCHOOL,07-20 Ashburton ES,209,1276144.65999718,492705.919695824,07-20,Ashburton Elementary School,6314 Lone Oak Dr Bethesda MD 20817,-77.1273731625568,39.0194861147791,Bethesda MD 20817,6314 Lone Oak Dr,-77.1273731625568,20131.6611770998,21771483.1976903,39.0194861147791
30,53,1,52,0,21480312.9176,20990.1874974,220,8,18,5,4,13,13-58,13058,13,58,20990.1873143,220,Elementary School,13-58 Flora M. Singer ES,155,1296734.00031564,492295.999938563,13-58,Flora M. Singer ES, 2600 Hayden Dr Silver Spring MD 20902,-77.0549040858449,39.0184170422935,Silver Spring MD 20902,2600 Hayden Dr,-77.0549040858449,20990.1873142881,21480312.9493744,39.0184170422935
31,54,1,53,0,12471474.9916,16783.9694021,219,8,20,5,4,13,13-19,13019,13,19,16783.9691857,199,PRIVATE,13-19 Margaret Schweinhaut Snr Ctr,227,1304887.73093738,491952.624255106,13-19,Margaret Schweinhaut Senior Center, 1000 Forest Glen Rd Silver Spring MD 20901,-77.0262055190948,39.0174841850952,SILVER SPRING MD 20901,1000 FOREST GLEN RD,-77.0262055190948,16783.9691856802,12471475.0162674,39.0174841850952
32,55,1,54,0,15513737.4233,16237.7462142,218,8,18,5,4,13,13-24,13024,13,24,16237.7459196,200,PRIVATE,13-24 Holy Cross Resource Inst,226,1302423.79093082,491914.854220524,13-24,Holy Cross Resource Institute, 9805 Dameron Dr Silver Spring MD 20902,-77.0348775431701,39.0173782169347,SILVER SPRING MD 20902,9805 DAMERON DR,-77.0348775431701,16237.7459196297,15513737.5100506,39.0173782169347
33,46,1,45,0,1101483.65959,4585.66512671,227,8,16,1,3, 7,07-31,07031,07,31,4585.66461308,186,PRIVATE,07-31 The Promenade Party Room,207,1282068.14017148,491111.463173643,07-31,The Promenade Party Room, 5225 Pooks Hill Rd Bethesda MD 20814,-77.1065177801025,39.0151290705903,BETHESDA MD 20814,5225 POOKS HILL RD,-77.1065177801025,4585.66461306342,1101483.53677347,39.0151290705903
34,47,1,46,0,24091993.4164,32124.3288362,226,8,16,1,3, 7,07-28,07028,07,28,32124.3289553,18,ELEMENTARY SCHOOLS,07-28 Bradley Hills ES,75,1278780.8748517,485490.781303793,07-28,Bradley Hills ES, 8701 Hartsdale Ave Bethesda MD 20817,-77.118061653,38.9996852991001,Bethesda MD 20817,8701 Hartsdale Ave,-77.118061653,32124.3289552619,24091993.6904169,38.9996852991001
35,48,1,47,0,20645516.0219,23326.7079837,225,8,16,1,3, 7,07-10,07010,07,10,23326.7079954,179,PRIVATE,07-10 St.Jane Frances de Chantal Ch,244,1279232.22531992,490434.82396175,07-10,St. Jane Frances de Chantal Catholic Church, 9601 Old Georgetown Rd Bethesda MD 20814,-77.1164956799093,39.0132617183376,BETHESDA MD 20814,9601 OLD GEORGETOWN RD,-77.1164956799093,23326.7079954621,20645516.1276409,39.0132617183376
36,49,1,48,0,31498469.1709,37523.9974133,224,8,16,1,3, 7,07-09,07009,07,09,37523.9981377,159,CENTER,07-09 Lynbrook School Center,202,1287597.6276491,482599.061320648,07-09,Lynbrook School Center, 8001 Lynbrook Dr Bethesda MD 20814,-77.0870283045618,38.9917726951697,BETHESDA MD 20814,8001 LYNBROOK DR,-77.0870283045618,37523.9981376866,31498469.5461367,38.9917726951697
37,24,1,23,0,15969992.4865,28289.5315006,249,8,20,5,4,13,13-21,13021,13,21,28289.5325402,148,MIDDLE SCHOOLS,13-21 Takoma Park MS,230,1308615.00005756,480277.281257764,13-21,Takoma Park MS, 7611 Piney Branch Rd Silver Spring MD 20910,-77.0130811462,38.9854294113,SILVER SPRING MD 20910,7611 PINEY BRANCH RD,-77.0130811462,28289.5325401954,15969992.1557031,38.9854294113
38,25,1,24,0,17663810.52,22431.2378115,248,8,18,1,3, 7,07-32,07032,07,32,22431.2385633,187,PRIVATE,07-32 Chevy Chase Library,208,1290554.79414748,482357.584266886,07-32,Chevy Chase Library, 8005 Connecticut Ave Chevy Chase MD 20815,-77.0766233175299,38.9911169486195,CHEVY CHASE MD 20815,8005 CONNECTICUT AVE,-77.0766233175299,22431.2385632515,17663810.5948358,38.9911169486195
39,27,1,26,0,17172285.6231,19931.3516014,246,8,16,1,3, 7,07-12,07012,07,12,19931.3516027,180,PRIVATE,07-12 Connie Morella Bethesda Library,203,1284209.71918021,479501.074024782,07-12,Connie Morella Bethesda Library, 7400 Arlington Rd Bethesda MD 20814,-77.098936253233,38.9832570596546,BETHESDA MD 20814,7400 ARLINGTON RD,-77.098936253233,19931.3516026743,17172285.7445114,38.9832570596546
40,28,1,27,0,15026925.9044,19039.2750335,245,8,20,5,4,13,13-22,13022,13,22,19039.2758233,153,ELEMENTARY SCHOOLS,13-22 Rolling Terrace ES,135,1313111.7500845,483823.906301513,13-22,Rolling Terrace ES, 705 Bayfield St Takoma Park MD 20912,-76.9972611450999,38.9951680980001,Takoma Park MD 20912,705 Bayfield St,-76.9972611450999,19039.2758233268,15026926.0930031,38.9951680980001
41,29,1,28,0,2803895.04432,9949.92902324,244,8,20,5,3,13,13-65,13065,13,65,9949.92938398,221,PRIVATE,13-65 Gwendolyn E. Coffield Rec Ctr,163,1297873.62763762,485095.023101285,13-65,Gwendolyn E. Coffield Rec Ctr, 2450 Lyttonsville Rd Silver Spring MD 20910,-77.0508788794449,38.9986471736486,Silver Spring MD 20910,2450 Lyttonsville Rd,-77.0508788794449,9949.92938401007,2803895.09036704,38.9986471736486
42,30,1,29,0,10807733.5183,14638.7789371,243,8,18,5,3,13,13-16,13016,13,16,14638.7793845,150,ELEMENTARY SCHOOLS,13-16 Rosemary Hills ES,133,1299501.74995093,486071.500117809,13-16,Rosemary Hills ES, 2111 Porter Rd Silver Spring MD 20910,-77.0451517607,39.0013306373001,Silver Spring MD 20910,2111 Porter Rd,-77.0451517607,14638.7793844595,10807733.4159102,39.0013306373001
43,31,1,30,0,15158917.0038,21042.2551106,228,8,20,5,5, 5,05-14,05014,05,14,1642.09689496,130,ELEMENTARY SCHOOLS,05-14 JoAnn LeLeck ES,154,1316542.12498416,488992.812517777,05-14,JoAnn LeLeck at Broad Acres ES, 710 Beacon Rd Silver Spring MD 20903,-76.9851884398998,39.0093594505,Silver Spring MD 20903,710 Beacon Rd,-76.9851884398998,1642.09689496721,30985.3959588153,39.0093594505
44,35,1,34,0,124094526.205,59356.0456301,238,8,16,1,3,10,10-10,10010,10,10,59356.0477093,195,PRIVATE,10-10 River Falls Swim Club,220,1251746.01393625,482124.808225036,10-10,River Falls Swim Club, 7915 Horseshoe Ln Potomac MD 20854,-77.2131617909629,38.9903086875439,POTOMAC MD 20854,7915 HORSESHOE LN,-77.2131617909629,59356.047709226,124094525.756829,38.9903086875439
45,36,1,35,0,56640138.5106,35714.7763632,237,8,16,1,3, 7,07-15,07015,07,15,35714.7769045,19,MIDDLE SCHOOLS,07-15 Thomas W Pyle MS,204,1275492.24999523,481545.687551111,07-15,Thomas W Pyle MS, 6311 Wilson Ln Bethesda MD 20817,-77.1296136733999,38.9888410039001,BETHESDA MD 20817,6311 WILSON LN,-77.1296136733999,35714.776904508,56640138.4193201,38.9888410039001
46,37,1,36,0,9550772.93878,17227.8172445,236,8,20,5,4,13,13-13,13013,13,13,17227.8174191,117,ELEMENTARY SCHOOLS,13-13 Highland View ES,130,1309389.8750383,487132.156215593,13-13,Highland View ES, 9010 Providence Ave Silver Spring MD 20901,-77.0103578618999,39.0042511332,Silver Spring MD 20901,9010 Providence Ave,-77.0103578618999,17227.8174190976,9550772.98614145,39.0042511332
47,38,1,37,0,25486469.336,27117.9722087,235,8,18,1,3, 7,07-16,07016,07,16,27117.9731137,13,ELEMENTARY SCHOOLS,07-16 North Chevy Chase ES,71,1291463.99989174,485144.312547669,07-16,North Chevy Chase ES, 3700 Jones Bridge Rd Chevy Chase MD 20815,-77.0734323519999,38.9987705251,Chevy Chase MD 20815,3700 Jones Bridge Rd,-77.0734323519999,27117.9731136943,25486469.2001799,38.9987705251
48,39,1,38,0,13590587.7205,15759.4344863,234,8,20,5,4,13,13-18,13018,13,18,15759.4350672,118,ELEMENTARY SCHOOLS,13-18 Oak View ES,262,1311646.87507123,487232.124900013,13-18,Oak View ES, 400 E Wayne Ave Silver Spring MD 20901,-77.0024156168,39.0045260505001,SILVER SPRING MD 20901,400 E WAYNE AVE,-77.0024156168,15759.4350671803,13590587.7866061,39.0045260505001
